gpa,college_tier,study_time,switch_months,risk_score,ambition_score,stability_score,learning_score,salary_priority,wlb_preference,ctc,company_type,location_tier,workload_score,skill_match,savings_rate,switch_probability,predicted_2yr_salary,satisfaction_score
7.15,3,1.94,16,8,9,4,1,7,1,13.74,3,3,8.33,90,58.16,59.4,17.45,55.21
7.5,1,3.58,25,10,9,10,10,10,4,12.37,1,3,7.27,42,22.21,63.8,17.19,47.75
7.42,1,0.83,17,5,9,1,6,7,8,22.76,4,2,8.96,75,50.32,48.3,45.04,60.07
6.61,2,0.67,20,8,3,1,8,8,1,22.39,3,2,5.78,88,23.55,34.7,44.28,61.11
7.33,1,2.05,15,1,3,7,4,10,10,10.41,4,3,8.22,45,32.13,31.5,21.26,47.09
8.75,3,1.9,26,6,8,10,9,8,6,4.43,1,3,4.99,81,42.21,47.0,9.18,64.13
7.78,2,2.2,26,6,3,7,8,7,4,9.14,1,2,4.72,57,47.9,33.0,13.23,57.77
9.28,1,3.67,28,5,4,3,5,8,6,14.21,1,1,5.47,53,67.52,63.7,30.68,68.38
6.17,1,0.85,24,7,7,3,4,7,4,14.62,1,3,4.94,93,53.45,31.5,24.29,64.93
8.01,1,2.17,12,8,4,10,7,3,6,7.63,5,3,8.5,63,27.13,34.7,12.96,48.09
7.91,3,1.13,34,10,10,4,8,2,10,9.61,1,3,5.66,90,56.4,49.3,19.46,75.22
8.83,3,1.83,21,3,8,4,8,2,4,13.15,3,3,8.45,85,38.91,48.3,19.31,53.82
7.11,1,2.83,28,8,8,4,7,9,9,17.4,4,1,8.66,51,44.23,68.3,24.76,52.84
9.19,2,0.56,21,9,1,9,8,6,1,5.13,2,1,5.0,63,38.67,16.6,10.32,58.45
6.34,1,0.56,36,1,4,7,7,5,3,16.41,1,3,6.17,53,34.01,30.6,35.38,51.79
7.87,2,3.27,14,4,7,8,1,5,2,17.51,2,3,6.69,76,63.05,63.7,30.53,63.15
6.27,2,2.06,20,3,7,5,6,3,5,24.32,3,2,4.56,77,27.93,46.6,47.99,63.18
9.07,1,2.23,27,8,1,7,3,5,5,15.09,2,1,6.55,68,20.83,40.3,19.26,44.15
6.51,1,2.12,35,3,1,10,1,9,9,5.78,1,3,5.17,84,32.31,42.2,9.38,56.73
8.43,3,0.51,33,4,1,7,8,1,9,20.95,2,3,8.33,64,37.09,25.1,37.89,45.52
9.64,1,0.71,32,6,4,3,1,5,3,22.0,1,1,5.65,85,33.66,38.1,33.94,59.24
9.37,2,2.31,25,9,6,2,6,6,7,8.0,3,1,6.84,82,65.41,46.1,11.59,57.67
8.91,1,3.81,26,2,5,9,9,4,1,13.67,1,1,8.06,60,66.06,54.1,29.09,62.18
6.32,1,3.2,23,3,7,4,2,6,9,4.54,2,3,4.28,94,48.87,61.0,5.63,65.68
8.43,3,3.75,28,3,10,4,9,5,7,21.19,3,3,8.09,89,21.72,77.5,32.98,61.02
8.78,1,2.12,35,5,4,10,9,5,6,4.31,2,3,7.26,63,45.19,49.2,6.66,56.41
6.09,2,1.45,31,3,9,6,1,9,4,22.06,4,2,4.18,54,51.01,55.5,46.63,70.03
7.72,2,3.36,30,2,5,8,1,8,7,23.37,1,3,8.22,88,41.26,52.6,51.4,65.95
8.46,1,1.09,36,2,3,9,8,10,8,12.15,4,1,5.49,53,22.22,29.9,17.6,47.98
8.97,3,3.51,33,1,1,4,1,5,3,16.5,4,2,6.94,90,35.6,55.099999999999994,22.36,55.32
6.92,1,3.84,28,10,2,3,6,8,3,16.29,1,1,7.43,87,35.58,61.4,25.07,60.63
6.52,2,1.61,34,8,7,1,3,2,2,17.01,3,3,5.25,89,64.18,42.1,32.53,70.15
9.04,1,1.27,22,3,5,4,2,9,7,10.14,2,1,4.04,72,65.6,29.7,21.42,68.42
8.95,3,3.5,21,4,5,2,3,7,2,21.37,5,3,7.83,49,32.19,53.0,44.0,54.42
9.51,3,2.51,12,8,6,9,6,9,10,4.76,5,1,4.8,94,25.89,44.099999999999994,7.39,63.77
7.16,3,2.14,26,2,1,5,4,8,8,24.74,1,1,8.11,64,33.24,27.400000000000002,52.89,54.54
7.63,1,1.7,16,8,7,5,6,7,9,12.87,4,2,6.31,88,22.03,45.0,21.61,58.62
8.27,3,1.56,26,9,7,9,3,5,2,6.76,2,2,6.75,60,53.89,49.6,13.65,62.55
9.43,3,3.14,19,1,7,10,8,2,8,23.33,2,2,4.37,40,38.59,53.400000000000006,42.94,57.26
7.87,3,2.5,17,8,1,7,6,5,4,11.93,1,3,7.53,82,29.06,35.0,22.3,52.93
7.79,1,2.7,22,1,5,7,6,8,1,17.66,3,1,6.57,48,69.88,57.0,30.84,57.29
8.76,1,0.54,29,2,10,1,9,1,5,20.24,1,2,6.13,83,55.89,48.4,28.03,61.56
6.11,1,2.07,21,3,9,7,7,5,2,14.97,4,3,6.86,41,41.74,56.7,26.51,51.17
7.81,2,3.47,13,5,1,8,3,8,3,6.89,4,3,4.34,71,27.12,42.7,11.42,55.58
7.17,1,3.53,27,4,5,6,10,5,7,12.78,3,3,5.8,76,58.37,59.3,25.69,74.19
9.37,3,1.23,22,6,9,1,7,8,3,14.3,2,2,5.77,82,34.33,46.3,25.58,61.62
8.22,1,2.1,18,8,2,3,7,5,4,20.21,5,3,5.96,74,37.54,39.0,37.21,55.84
6.39,1,2.85,17,3,6,7,5,2,10,17.77,1,3,7.12,47,50.72,63.5,31.1,54.52
6.16,2,2.65,23,6,3,1,4,10,5,16.51,2,3,7.33,43,49.14,41.5,27.1,50.42
9.45,2,2.83,22,7,9,2,6,3,4,16.33,3,2,4.99,60,67.12,75.3,25.67,72.32
9.14,3,1.72,13,10,4,10,8,7,3,10.13,2,3,5.81,89,62.51,31.2,14.48,54.41
8.49,1,0.92,16,4,6,1,8,6,5,4.94,3,3,6.83,60,61.17,44.2,8.64,61.37
6.93,3,3.79,16,2,1,5,10,8,3,5.86,4,3,6.79,74,30.15,59.9,9.99,61.66
8.44,1,1.0,29,5,5,10,8,5,2,9.23,5,3,8.42,73,40.7,40.0,12.49,49.1
9.45,2,0.52,33,8,10,6,6,7,8,23.01,5,1,8.23,82,40.59,41.2,47.14,61.41
7.57,1,1.83,33,4,1,10,2,1,6,10.66,2,2,7.12,45,60.41,22.3,18.49,47.64
6.43,2,1.08,32,1,6,2,10,1,5,18.31,5,3,4.17,90,40.99,45.8,27.74,62.35
