gpa,college_tier,study_time,switch_months,risk_score,ambition_score,stability_score,learning_score,salary_priority,wlb_preference,ctc,company_type,location_tier,workload_score,skill_match,savings_rate,switch_probability,predicted_2yr_salary,satisfaction_score
9.62,2,3.47,32,8,1,7,10,6,6,22.14,2,3,8.93,77,25.29,40.7,46.99,58.98
8.32,3,2.34,13,9,3,9,6,9,6,24.65,5,1,7.24,49,34.63,50.4,50.12,57.03
6.25,1,0.99,22,1,9,3,1,1,9,17.99,1,3,5.52,48,61.52,38.9,24.07,49.51
9.18,1,3.57,21,7,7,8,9,2,9,18.63,3,3,4.38,59,39.95,69.69999999999999,23.28,61.39
7.86,1,0.62,26,2,3,10,1,5,7,22.4,1,1,5.84,49,30.47,32.2,40.22,54.5
8.53,3,2.3,21,5,1,1,6,9,9,13.88,3,1,6.63,65,63.6,27.0,30.27,59.76
7.07,1,3.83,16,9,1,10,3,1,1,15.93,5,3,8.96,91,42.55,60.3,24.35,60.21
7.37,2,0.95,35,7,2,1,7,3,8,20.99,5,3,6.44,84,59.99,28.5,38.82,64.53
7.19,3,2.48,25,3,10,1,7,8,6,15.76,3,3,8.88,67,44.49,54.8,34.32,58.77
6.78,1,2.1,25,7,2,5,3,10,7,5.33,3,3,4.22,56,22.56,35.0,8.85,54.14
9.53,2,1.49,32,6,6,8,6,9,5,24.91,2,2,7.02,81,29.3,42.9,41.58,60.62
6.72,1,1.69,33,3,7,2,4,2,10,16.5,1,3,8.53,86,56.37,41.9,24.67,55.39
7.99,2,2.46,16,9,7,9,5,4,9,13.73,1,1,6.0,46,60.14,49.6,28.47,62.29
9.23,3,2.58,33,1,5,3,3,4,10,16.57,1,2,4.45,89,63.31,43.8,23.16,64.03
8.0,1,3.51,12,5,6,4,4,4,10,23.07,1,1,5.93,59,36.01,53.099999999999994,39.32,60.17
9.05,2,1.61,33,10,9,7,9,9,7,17.41,5,3,5.14,59,26.6,56.1,33.47,63.31
7.1,1,2.75,18,3,5,4,9,4,8,23.13,1,3,9.0,42,37.73,55.5,37.79,47.94
8.82,3,3.81,19,10,1,8,2,4,9,8.12,5,1,6.41,52,50.66,41.1,11.02,46.28
